Destinatio,Origin,Population,id,iso_n3
Canada,Indonesia,"124","571","360"
UK,Indonesia,"22","3136","360"
Greece,Indonesia,"15","1384","360"
Sweden,Indonesia,"15","2768","360"
Germany,Indonesia,"11","1258","360"
France,Indonesia,"7","1111","360"
Germany,Iran (Islamic Rep. of),"39997","1259","364"
UK,Iran (Islamic Rep. of),"16220","3137","364"
Australia,Iran (Islamic Rep. of),"9500","117","364"
Turkey,Iran (Islamic Rep. of),"8764","3004","364"
Iraq,Iran (Islamic Rep. of),"7152","1544","364"
Sweden,Iran (Islamic Rep. of),"6253","2769","364"
USA,Iran (Islamic Rep. of),"5506","3275","364"
Austria,Iran (Islamic Rep. of),"5135","202","364"
Netherlands,Iran (Islamic Rep. of),"4857","2100","364"
Denmark,Iran (Islamic Rep. of),"3181","884","364"
Germany,Iraq,"133968","1260","368"
Turkey,Iraq,"38711","3005","368"
Jordan,Iraq,"34362","1743","368"
Iran,Iraq,"28268","1539","368"
Syria,Iraq,"15410","2927","368"
Sweden,Iraq,"14214","2770","368"
Netherlands,Iraq,"10301","2101","368"
Greece,Iraq,"9354","1386","368"
Finland,Iraq,"8148","1031","368"
Austria,Iraq,"7915","203","368"
Canada,Israel,"209","574","376"
USA,Israel,"145","3277","376"
Germany,Israel,"40","1261","376"
Sweden,Israel,"31","2771","376"
Australia,Israel,"14","119","376"
Austria,Israel,"11","204","376"
Norway,Israel,"11","2243","376"
UK,Israel,"8","3139","376"
France,Israel,"7","1114","376"
Italy,Israel,"7","1669","376"
Germany,Italy,"23","1262","380"
USA,Italy,"23","3278","380"
Australia,Italy,"5","120","380"
Canada,Jamaica,"920","575","388"
USA,Jamaica,"774","3279","388"
UK,Jamaica,"362","3140","388"
Netherlands,Jamaica,"182","2102","388"
Germany,Jamaica,"64","1263","388"
Trin. & Tob.,Jamaica,"25","2978","388"
France,Jamaica,"15","1115","388"
Suriname,Jamaica,"5","2726","388"
Germany,Japan,"26","1264","392"
Australia,Japan,"10","121","392"
USA,Japan,"6","3280","392"
USA,Jordan,"479","3281","400"
Canada,Jordan,"430","576","400"
