Extracted:,United Nations High Commissioner for Refugees
Date extracted:,29/06/2019 22:57:31
Last updated:,29/06/2019 22:57:31

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, April 2019
Country of origin:,"AFG,BTN,COD,ERI,IRN,IRQ,MMR,SOM,SDN,SYR"
Country of asylum:,""
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2015,SDN,"Sudan",-,"-",DNK,"Denmark",11
2015,COD,"Dem. Rep. of the Congo",-,"-",AUS,"Australia",363
2015,SYR,"Syrian Arab Rep.",-,"-",NOR,"Norway",1669
2015,MMR,"Myanmar",-,"-",AUS,"Australia",1180
2015,SDN,"Sudan",-,"-",NOR,"Norway",20
2015,AFG,"Afghanistan",-,"-",USA,"United States of America",1205
2015,MMR,"Myanmar",-,"-",NOR,"Norway",5
2015,SDN,"Sudan",-,"-",FRA,"France",6
2015,SOM,"Somalia",-,"-",FIN,"Finland",25
2015,AFG,"Afghanistan",-,"-",NOR,"Norway",239
2015,ERI,"Eritrea",-,"-",NOR,"Norway",16
2015,IRQ,"Iraq",-,"-",CAN,"Canada",2001
2015,SDN,"Sudan",-,"-",PRT,"Portugal",8
2015,COD,"Dem. Rep. of the Congo",-,"-",DNK,"Denmark",264
2015,SDN,"Sudan",-,"-",DEU,"Germany",123
2015,IRN,"Iran (Islamic Rep. of)",-,"-",NLD,"Netherlands",2
2015,IRN,"Iran (Islamic Rep. of)",-,"-",CAN,"Canada",374
2015,IRQ,"Iraq",-,"-",IRL,"Ireland",31
2015,SOM,"Somalia",-,"-",DEU,"Germany",53
2015,AFG,"Afghanistan",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2015,SYR,"Syrian Arab Rep.",-,"-",HUN,"Hungary",2
2015,IRQ,"Iraq",-,"-",DNK,"Denmark",1
2015,SOM,"Somalia",-,"-",AUS,"Australia",281
2015,SOM,"Somalia",-,"-",NOR,"Norway",41
2015,BTN,"Bhutan",-,"-",NZL,"New Zealand",53
2015,SYR,"Syrian Arab Rep.",-,"-",AUS,"Australia",167
2015,SYR,"Syrian Arab Rep.",-,"-",ISL,"Iceland",12
2015,IRN,"Iran (Islamic Rep. of)",-,"-",AUS,"Australia",222
2015,SOM,"Somalia",-,"-",CAN,"Canada",355
2015,SYR,"Syrian Arab Rep.",-,"-",NLD,"Netherlands",236
2015,IRQ,"Iraq",-,"-",USA,"United States of America",4119
2015,AFG,"Afghanistan",-,"-",SWE,"Sweden",213
2015,ERI,"Eritrea",-,"-",NLD,"Netherlands",11
2015,IRQ,"Iraq",-,"-",AUS,"Australia",1159
2015,COD,"Dem. Rep. of the Congo",-,"-",FRA,"France",2
2015,ERI,"Eritrea",-,"-",USA,"United States of America",1457
2015,SYR,"Syrian Arab Rep.",-,"-",LUX,"Luxembourg",49
2015,COD,"Dem. Rep. of the Congo",-,"-",NZL,"New Zealand",4
2015,ERI,"Eritrea",-,"-",FRA,"France",18
2015,IRQ,"Iraq",-,"-",ROU,"Romania",2
2015,SYR,"Syrian Arab Rep.",-,"-",FRA,"France",587
2015,IRN,"Iran (Islamic Rep. of)",-,"-",FIN,"Finland",18
2015,SDN,"Sudan",-,"-",CAN,"Canada",81
2015,SYR,"Syrian Arab Rep.",-,"-",DNK,"Denmark",145
2015,COD,"Dem. Rep. of the Congo",-,"-",CAN,"Canada",547
2015,SYR,"Syrian Arab Rep.",-,"-",PRT,"Portugal",27
2015,MMR,"Myanmar",-,"-",SWE,"Sweden",6
2015,MMR,"Myanmar",-,"-",KOR,"Rep. of Korea",22
2015,SDN,"Sudan",-,"-",USA,"United States of America",1519
2015,IRQ,"Iraq",-,"-",NZL,"New Zealand",49
2015,SDN,"Sudan",-,"-",FIN,"Finland",212
2015,BTN,"Bhutan",-,"-",NLD,"Netherlands",1
2015,SOM,"Somalia",-,"-",USA,"United States of America",7074
2015,SYR,"Syrian Arab Rep.",-,"-",BLR,"Belarus",14
2015,AFG,"Afghanistan",-,"-",DEU,"Germany",5
2015,IRQ,"Iraq",-,"-",SWE,"Sweden",48
2015,AFG,"Afghanistan",-,"-",NZL,"New Zealand",151
2015,BTN,"Bhutan",-,"-",CAN,"Canada",398
2015,IRQ,"Iraq",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2015,IRN,"Iran (Islamic Rep. of)",-,"-",USA,"United States of America",1190
2015,SDN,"Sudan",-,"-",NLD,"Netherlands",6
2015,COD,"Dem. Rep. of the Congo",-,"-",FIN,"Finland",151
2015,ERI,"Eritrea",-,"-",SWE,"Sweden",48
2015,SYR,"Syrian Arab Rep.",-,"-",BEL,"Belgium",188
2015,SYR,"Syrian Arab Rep.",-,"-",FIN,"Finland",372
2015,SYR,"Syrian Arab Rep.",-,"-",DEU,"Germany",1627
2015,ERI,"Eritrea",-,"-",AUS,"Australia",168
2015,SYR,"Syrian Arab Rep.",-,"-",IRL,"Ireland",145
2015,IRQ,"Iraq",-,"-",FIN,"Finland",23
2016,IRQ,"Iraq",-,"-",SWE,"Sweden",99
2016,AFG,"Afghanistan",-,"-",NZL,"New Zealand",93
2016,BTN,"Bhutan",-,"-",CAN,"Canada",108
2016,IRQ,"Iraq",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",159
2016,ERI,"Eritrea",-,"-",ITA,"Italy",48
2016,IRN,"Iran (Islamic Rep. of)",-,"-",USA,"United States of America",1786
2016,SDN,"Sudan",-,"-",NLD,"Netherlands",2
2016,COD,"Dem. Rep. of the Congo",-,"-",FIN,"Finland",196
2016,ERI,"Eritrea",-,"-",SWE,"Sweden",269
2016,SYR,"Syrian Arab Rep.",-,"-",BEL,"Belgium",448
2016,IRN,"Iran (Islamic Rep. of)",-,"-",NOR,"Norway",12
2016,SYR,"Syrian Arab Rep.",-,"-",FIN,"Finland",549
2016,SYR,"Syrian Arab Rep.",-,"-",DEU,"Germany",1183
2016,ERI,"Eritrea",-,"-",AUS,"Australia",162
2016,SYR,"Syrian Arab Rep.",-,"-",IRL,"Ireland",341
2016,SYR,"Syrian Arab Rep.",-,"-",LVA,"Latvia",6
2016,MMR,"Myanmar",-,"-",NZL,"New Zealand",155
2016,SDN,"Sudan",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",108
2016,SOM,"Somalia",-,"-",NZL,"New Zealand",5
2016,IRQ,"Iraq",-,"-",NLD,"Netherlands",13
2016,SOM,"Somalia",-,"-",FRA,"France",4
2016,ERI,"Eritrea",-,"-",CAN,"Canada",447
2016,SDN,"Sudan",-,"-",SWE,"Sweden",34
2016,COD,"Dem. Rep. of the Congo",-,"-",IRL,"Ireland",2
